,high_grade_displasia_FAAGSCC_13_HGD_15_diag.csv,high_grade_displasia_FAAGSCC_13_HGD_2_diag.csv,high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,invasive_carcinoma_AGSCC_1_IC_18_diag.csv,invasive_carcinoma_AGSCC_1_IC_24_diag.csv,invasive_carcinoma_AGSCC_1_IC_28_diag.csv,light_grade_displasia_F82P1_LGD_5_diag.csv,light_grade_displasia_F82P1_LGD_6_diag.csv,stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_4_diag.csv,stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,stroma_ad_invasive_carcinoma_AGSCC_1_IC_111_diag.csv,stroma_ad_invasive_carcinoma_AGSCC_1_IC_99_diag.csv,stroma_ad_light_grade_displasia_F33P1_LGD_7_diag.csv,stroma_ad_light_grade_displasia_F81P1_LGD_1_diag.csv
high_grade_displasia_FAAGSCC_13_HGD_15_diag.csv,0.0,8198.22118081184,7072.017586137324,5110.855774957433,2802.038489132862,3567.28559902212,11877.053258414608,9874.34897458546,13116.337969727729,6791.790530829345,11125.940007502015,2786.86041139628,16465.40504125644,13014.08689450043
high_grade_displasia_FAAGSCC_13_HGD_2_diag.csv,8198.221180811823,0.0,15146.762374770993,3288.1483384361895,8890.749391476513,4699.8363747637795,14407.416673005537,13770.664022447661,13427.392771742429,11307.889080771216,6901.4068151962065,10428.856505151223,20586.450124533538,15869.924265672562
high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,7072.017586137326,15146.762374770977,0.0,12091.47489651495,7062.949444724356,10593.444874636933,12672.287913442631,10606.451096547436,14932.55789562629,7750.969786595368,16962.80476724835,5334.496752620718,14034.45112950842,12557.351565222676
invasive_carcinoma_AGSCC_1_IC_18_diag.csv,5110.855774957435,3288.148338436192,12091.474896514963,0.0,5682.730450961282,1823.5991176990567,13438.189550743276,12105.121323906675,13886.333620744035,9233.406103323032,8953.93814737689,7522.886489872884,19469.44727300309,15255.976038727093
invasive_carcinoma_AGSCC_1_IC_24_diag.csv,2802.03848913286,8890.749391476524,7062.949444724354,5682.730450961262,0.0,4426.863153096369,14638.9005549531,12598.207919470642,15915.42863523229,9419.118942080928,13294.694608502998,4725.905798394116,18800.30071991014,15614.262790327422
invasive_carcinoma_AGSCC_1_IC_28_diag.csv,3567.2855990221174,4699.836374763778,10593.444874636949,1823.599117699062,4426.863153096357,0.0,12067.112490787233,10513.490416200377,12866.989163096485,7531.101495512904,9114.39803764256,5880.819476370759,17825.94583842564,13724.456957895956
light_grade_displasia_F82P1_LGD_5_diag.csv,11877.053258414604,14407.416673005548,12672.287913442622,13438.189550743275,14638.900554953096,12067.112490787207,0.0,2290.731689414438,6557.5226651269695,5395.074940946501,12746.546338102075,10258.53512376031,6367.12591534398,3452.6501774418075
light_grade_displasia_F82P1_LGD_6_diag.csv,9874.348974585453,13770.664022447638,10606.451096547444,12105.121323906676,12598.207919470642,10513.490416200382,2290.731689414437,0.0,6629.441160991034,3514.3180564821996,12727.369301328245,8136.11614333403,7406.404443945655,4025.120453147745
stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_4_diag.csv,13116.337969727712,13427.392771742429,14932.557895626302,13886.333620744039,15915.428635232272,12866.989163096494,6557.52266512698,6629.44116099105,0.0,7374.872011697432,8087.908294083308,11789.235110660868,10432.573478299728,5567.06645277878
stroma_ad_high_grade_displasia_FAAGSCC_13_HGD_7_diag.csv,6791.79053082934,11307.889080771209,7750.96978659535,9233.40610332302,9419.11894208094,7531.101495512911,5395.074940946508,3514.318056482204,7374.872011697413,0.0,11377.990292306547,4919.287727625283,10311.433961928531,6314.661445292601
stroma_ad_invasive_carcinoma_AGSCC_1_IC_111_diag.csv,11125.940007502017,6901.406815196194,16962.80476724838,8953.938147376897,13294.694608503052,9114.398037642572,12746.546338102056,12727.369301328235,8087.908294083295,11377.99029230655,0.0,11885.945957213311,17781.446393207938,12532.7555970277
stroma_ad_invasive_carcinoma_AGSCC_1_IC_99_diag.csv,2786.8604113962815,10428.856505151247,5334.496752620715,7522.886489872865,4725.905798394117,5880.819476370757,10258.535123760317,8136.116143334027,11789.23511066083,4919.287727625284,11885.945957213267,0.0,14109.736242287148,10939.54706260273
stroma_ad_light_grade_displasia_F33P1_LGD_7_diag.csv,16465.405041256417,20586.45012453351,14034.451129508414,19469.447273003057,18800.3007199101,17825.945838425643,6367.125915343974,7406.404443945664,10432.573478299742,10311.433961928544,17781.446393207927,14109.736242287154,0.0,5323.746773805079
stroma_ad_light_grade_displasia_F81P1_LGD_1_diag.csv,13014.086894500439,15869.924265672567,12557.351565222696,15255.976038727102,15614.262790327448,13724.456957895954,3452.6501774418143,4025.120453147747,5567.06645277877,6314.661445292594,12532.755597027677,10939.547062602705,5323.746773805075,0.0
